,ImageNumber,ObjectNumber,Metadata_Treatment,DAPI_Intensity_MaxIntensity_DAPI,DAPI_Correlation_K_A568UBF_A488FBL,A568_Intensity_MinIntensity_DAPI,DAPI_Correlation_Costes_A488FBL_A568UBF,A488_Intensity_StdIntensityEdge_A488FBL,DAPI_Intensity_LowerQuartileIntensity_A488FBL,DAPI_Texture_InfoMeas1_A488FBL_3_01_256,DAPI_Correlation_Manders_A568UBF_A488FBL,DAPI_Children_A568obj_Count,A568_Intensity_UpperQuartileIntensity_A488FBL
0,1,1,10uMmg132,0.6823529601097107,1.0501010299039124,0.0745098069310188,0.9894107952840218,0.0243869441693862,0.039215687662363,-0.1822726555500809,0.2344153783515662,5,0.3068627566099167
1,1,2,10uMmg132,0.5607843399047852,0.8551693126081074,0.0666666701436042,0.9610361924648562,0.0304133255236103,0.0313725508749485,-0.1587254529787318,0.1721843633065622,3,0.2343137264251709
2,1,3,10uMmg132,0.6274510025978088,0.5422616236159591,0.0784313753247261,0.9840540541667376,0.0234725095580938,0.039215687662363,-0.1829907262846491,0.722625555755358,10,0.190196081995964
3,1,4,10uMmg132,0.7176470756530762,1.1687083703558856,0.0745098069310188,0.9888349294990852,0.0285903903285487,0.0431372560560703,-0.1799456405834957,0.3090629239395312,11,0.239215686917305
4,1,5,10uMmg132,0.6431372761726379,0.9461065125670004,0.0705882385373115,0.9834723630999964,0.0227189078616159,0.0352941192686557,-0.1518619301575976,0.5400971249703999,6,0.1921568661928177
5,1,6,10uMmg132,0.7647058963775635,0.8107593383469882,0.0862745121121406,0.9886538273562572,0.0214795377371279,0.039215687662363,-0.1995417863806531,0.4655968518716408,3,0.3176470696926117
6,1,7,10uMmg132,0.686274528503418,0.6179307773816126,0.0784313753247261,0.9669421489973884,0.0308114322617859,0.0313725508749485,-0.1096406933649146,0.753627196550685,15,0.1333333402872085
7,1,8,10uMmg132,0.6784313917160034,0.580690671525005,0.125490203499794,0.9725431651447936,0.0209411615197734,0.0352941192686557,-0.151816181471099,0.8764553909923911,5,0.1607843190431594
8,1,9,10uMmg132,0.8156862854957581,1.1224589961425806,0.0745098069310188,0.9481765840000088,0.0296358384869449,0.027450980618596,-0.1298154339677886,0.2622296367178282,4,0.1980392187833786
9,1,10,10uMmg132,0.615686297416687,0.7028459561353215,0.0823529437184333,0.9820730429427774,0.0254843772020672,0.0352941192686557,-0.1896585128418255,0.4102699092249118,9,0.2039215713739395
10,1,11,10uMmg132,0.6745098233222961,0.7110147385013778,0.0705882385373115,0.9779472811646708,0.0190741496355258,0.039215687662363,-0.1141715586167954,0.5559318954208248,20,0.0941176488995552
11,1,12,10uMmg132,0.8196078538894653,0.4492266518024483,0.125490203499794,0.973735701666049,0.0281913178785928,0.0352941192686557,-0.1551250816064231,0.7603775873498082,1,0.1803921610116958
12,1,13,10uMmg132,0.6666666865348816,0.5594889904427114,0.0941176488995552,0.9719371486349514,0.0118577110664327,0.0352941192686557,-0.0598158164777141,0.9610569775501996,15,0.0666666701436042
13,2,1,10uMmg132,0.5490196347236633,0.7506322583419732,0.062745101749897,0.9892355353311127,0.0215513802549196,0.039215687662363,-0.1296556329339739,0.3043773619962298,7,0.2313725501298904
14,2,2,10uMmg132,0.5490196347236633,1.0566104517891546,0.0549019612371921,0.9909642443090392,0.0262759858641714,0.039215687662363,-0.2007678547026254,0.3184850030623753,13,0.1764705926179886
15,2,3,10uMmg132,0.6078431606292725,0.9042486621972068,0.0666666701436042,0.9891111536608368,0.0266933121355538,0.0431372560560703,-0.1204682693899624,0.4421685226499426,15,0.1176470592617988
16,2,4,10uMmg132,0.5098039507865906,0.6566480875035962,0.0588235296308994,0.9817238534857295,0.0211004862825703,0.0352941192686557,-0.1250521130225276,0.5770040215737628,6,0.1921568661928177
17,2,5,10uMmg132,0.6313725709915161,0.6269731141015084,0.062745101749897,0.9571676380944992,0.0286047613832069,0.0313725508749485,-0.0980411578018274,0.5705362267049409,9,0.1176470592617988
18,2,6,10uMmg132,0.7529411911964417,0.6497807568070202,0.1137254908680915,0.9769364947578426,0.0180049423818031,0.0352941192686557,-0.1594870737512259,0.8121021544807568,8,0.1754902005195617
